 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
;;;;;; tone_est_coef; [15:0]; 16'h0; RO;;;;
0x0090;TONE_CTRL_8;pclk;reset_n;;;fft_out_data;[31:8]; 24'h0; RO;;;;
;;;;;; reg_fft_out_addr; [7:0]; 8'h0; R/W;;;;
0x0094;TONE_CTRL_9;pclk;reset_n;;;;[31:17]; 15'h0; RO;;;;
;;;;;; reg_fft_out_addr_val; [16]; 1'h0; R/W;;;;
;;;;;; reg_tone_est_req_err1; [15:8]; 8'h51; R/W;;;;
;;;;;; reg_tone_est_req_err0; [7:0]; 8'h51; R/W;;;;
0x0098;TONE_CTRL_10;pclk;reset_n;;; reg_tone_est_req_err_det_num; [31:24]; 8'h10; R/W;;;;
;;;;;; reg_tone_est_req_err_det_len; [23:0]; 24'h200; R/W;;;;
0x009c;BB_STATE_CNT_CONF2;pclk;reset_n;;;; [31:10]; 22'd0; RO;;;;
;;;;;; reg_bb_cnt_txend_tar; [9:0]; 10'd240; R/W;;;;
0x00a0;TONE_CTRL_11 ; pclk ; reset_n ;;; reg_te_loop_cnt_thr4 ; [31:24] ; 8'h20 ; R/W ;;;;
;;;;;; reg_te_loop_cnt_thr3 ; [23:16] ; 8'h10 ; R/W ;;;;
;;;;;; reg_te_loop_cnt_thr2 ; [15:8] ; 8'h06 ; R/W ;;;;
;;;;;; reg_te_loop_cnt_thr1 ; [7:0] ; 8'h02 ; R/W ;;;;
0x00a4;TONE_CTRL_12 ; pclk ; reset_n ;;;; [31:24] ; 8'h00 ; RO ;;;;
;;;;;; reg_te_loop_cnt_thr7 ; [23:16] ; 8'hff ; R/W ;;;;
;;;;;; reg_te_loop_cnt_thr6 ; [15:8] ; 8'h80 ; R/W ;;;;
;;;;;; reg_te_loop_cnt_thr5 ; [7:0] ; 8'h40 ; R/W ;;;;
 0x03FC ; BB_NOUSE ; pclk ; reset_n ;;;; [31:28] ; 4'h0 ; R/W ;;;;
;;;;;;reg_bb_date;[27:0];28'h1910140;R/W;;;;
