#sample iq, sample i, sample q, rx_gain, rx_err, agc_st, adc_data, lna_sat, vga_sat,1
685538,-355,482,0,0,0,0xa75e2,0,0,0
666082,-374,482,0,0,0,0xa29e2,0,0,0
647650,-392,482,0,0,0,0x9e1e2,0,0,0
633314,-406,482,0,0,0,0x9a9e2,0,0,0
618978,-420,482,0,0,0,0x971e2,0,0,0
606690,-432,482,0,0,0,0x941e2,0,0,0
591330,-447,482,0,0,0,0x905e2,0,0,0
572898,-465,482,0,0,0,0x8bde2,0,0,0
555490,-482,482,0,0,0,0x879e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
